City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Luderitz,-26.6481,15.1594,68.74,68,41,11.77,NA,scattered clouds
1,Laguna,38.421,-121.4238,65.25,72,0,0.0,US,clear sky
2,Hilo,19.7297,-155.09,72.81,91,14,1.99,US,few clouds
3,New Norfolk,-42.7826,147.0587,74.66,29,8,3.0,AU,clear sky
4,Albany,42.6001,-73.9662,36.09,89,38,2.37,US,scattered clouds
5,Illapel,-31.6308,-71.1653,65.03,81,3,2.33,CL,clear sky
6,Carnarvon,-24.8667,113.6333,87.58,57,13,6.87,AU,few clouds
7,Ekhabi,53.5102,142.9671,26.91,92,100,8.25,RU,light snow
8,Mandalgovi,45.7625,106.2708,1.0,55,100,12.5,MN,overcast clouds
9,Carbondale,37.7273,-89.2168,43.23,78,0,5.75,US,clear sky
10,Mataura,-46.1927,168.8643,63.48,55,26,7.85,NZ,scattered clouds
11,Cape Town,-33.9258,18.4232,63.27,74,0,5.57,ZA,clear sky
12,Atuona,-9.8,-139.0333,78.35,74,9,17.09,PF,clear sky
13,Vanimo,-2.6741,141.3028,81.37,83,97,1.9,PG,overcast clouds
14,Erenhot,43.6475,111.9767,7.0,82,100,3.94,CN,overcast clouds
15,Touros,-5.1989,-35.4608,79.7,79,17,8.46,BR,few clouds
16,Punta Arenas,-53.15,-70.9167,44.11,56,80,13.78,CL,broken clouds
17,Pundaguitan,6.3711,126.1689,81.1,79,79,9.19,PH,broken clouds
18,Victoria,22.2855,114.1577,74.97,75,39,8.01,HK,scattered clouds
19,Yellowknife,62.456,-114.3525,-17.45,76,100,3.44,CA,overcast clouds
20,Vaini,-21.2,-175.2,82.13,78,8,16.13,TO,clear sky
21,Ponta Do Sol,32.6667,-17.1,67.71,59,100,5.95,PT,overcast clouds
22,Barrow,71.2906,-156.7887,-24.86,99,99,10.71,US,overcast clouds
23,Taltal,-25.4,-70.4833,65.8,81,1,2.39,CL,clear sky
24,Kangaatsiaq,68.3065,-53.4641,-3.78,85,100,10.69,GL,overcast clouds
25,Ushuaia,-54.8,-68.3,44.26,81,40,28.77,AR,scattered clouds
26,Tateyama,34.9833,139.8667,44.62,59,98,14.67,JP,overcast clouds
27,East London,-33.0153,27.9116,69.76,83,55,3.6,ZA,broken clouds
