City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-02-10 02:05:14,-33.0153,27.9116,67.59,77,0,6.02
1,Ambulu,ID,2022-02-10 02:05:14,-8.345,113.6058,83.68,67,100,2.73
2,Sitka,US,2022-02-10 02:05:15,57.0531,-135.33,42.69,87,100,17.27
3,Upernavik,GL,2022-02-10 02:05:15,72.7868,-56.1549,-13.74,80,100,11.61
4,Pevek,RU,2022-02-10 02:05:15,69.7008,170.3133,-31.11,99,98,4.99
5,Longyearbyen,SJ,2022-02-10 02:00:56,78.2186,15.6401,13.84,85,40,6.91
6,Albany,US,2022-02-10 02:02:09,42.6001,-73.9662,40.68,66,100,4.25
7,Yellowknife,CA,2022-02-10 02:05:16,62.456,-114.3525,-6.59,96,100,13.4
8,Labytnangi,RU,2022-02-10 02:05:16,66.6572,66.4183,-3.33,100,100,1.66
9,Chulym,RU,2022-02-10 02:05:17,55.0997,80.9572,-13.29,94,5,8.05
10,Pandan,PH,2022-02-10 02:05:17,14.0453,124.1694,81.14,70,100,14.41
11,Bluff,NZ,2022-02-10 02:05:17,-46.6,168.3333,63.25,89,55,12.66
12,Punta Arenas,CL,2022-02-10 02:05:18,-53.15,-70.9167,46.51,57,40,24.16
13,Busselton,AU,2022-02-10 02:05:18,-33.65,115.3333,80.04,41,5,6.89
14,Avarua,CK,2022-02-10 02:05:19,-21.2078,-159.775,80.65,83,100,16.11
15,Cherskiy,RU,2022-02-10 02:03:54,68.75,161.3,-38.7,98,90,4.85
16,Muncar,ID,2022-02-10 02:05:19,-8.4333,114.3333,84.6,66,100,2.28
17,Kokopo,PG,2022-02-10 02:05:19,-4.352,152.2633,85.53,65,93,7.83
18,Hilo,US,2022-02-10 02:05:20,19.7297,-155.09,76.73,73,20,6.91
19,Rikitea,PF,2022-02-10 02:03:44,-23.1203,-134.9692,79.07,72,50,16.42
20,Norman Wells,CA,2022-02-10 02:05:20,65.282,-126.8329,-9.67,96,100,3.4
21,Phalaborwa,ZA,2022-02-10 02:01:47,-23.943,31.1411,72.77,71,5,7.61
22,Itapetininga,BR,2022-02-10 02:05:21,-23.5917,-48.0531,61.59,94,2,7.31
23,Tasiilaq,GL,2022-02-10 02:05:21,65.6145,-37.6368,14.16,54,100,8.7
24,Russell,US,2022-02-10 02:01:42,32.3502,-85.1999,51.03,65,0,0.0
25,Provideniya,RU,2022-02-10 02:05:21,64.3833,-173.3,-3.89,59,0,15.66
26,Bathsheba,BB,2022-02-10 02:05:22,13.2167,-59.5167,77.22,72,13,18.45
27,Blackpool,GB,2022-02-10 02:04:28,53.8167,-3.05,41.9,71,99,20.4
28,Anzio,IT,2022-02-10 02:05:22,41.4853,12.6179,51.44,82,0,9.35
29,Port Alfred,ZA,2022-02-10 02:05:23,-33.5906,26.891,64.9,84,1,9.08
30,Hobart,AU,2022-02-10 02:02:31,-42.8794,147.3294,74.26,42,75,17.27
31,Rocha,UY,2022-02-10 02:04:33,-34.4833,-54.3333,60.82,86,0,5.88
32,Lebu,CL,2022-02-10 02:04:04,-37.6167,-73.65,59.86,83,38,21.14
33,Arraial Do Cabo,BR,2022-02-10 02:05:23,-22.9661,-42.0278,70.5,88,93,9.01
34,San Lorenzo,PY,2022-02-10 02:05:24,-25.3333,-57.5333,74.34,60,6,0.0
35,Luderitz,NA,2022-02-10 02:05:24,-26.6481,15.1594,73.49,52,80,16.73
36,Mataura,NZ,2022-02-10 02:03:37,-46.1927,168.8643,81.05,34,23,6.13
37,Barreirinha,BR,2022-02-10 02:05:24,-2.7933,-57.07,74.89,95,100,2.68
38,Faanui,PF,2022-02-10 02:05:25,-16.4833,-151.75,81.27,75,89,12.59
39,Tesalia,CO,2022-02-10 02:05:25,2.4859,-75.7292,71.15,87,98,1.45
40,Carnarvon,AU,2022-02-10 02:05:25,-24.8667,113.6333,85.33,47,0,8.43
41,Tilichiki,RU,2022-02-10 02:05:26,60.4667,166.1,-6.84,75,5,5.44
42,Erbaa,TR,2022-02-10 02:05:26,40.6689,36.5675,38.19,98,100,5.66
43,Batagay,RU,2022-02-10 02:05:26,67.6333,134.6333,-32.4,94,66,1.95
